IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.103.65,8080,8080,false,SIN,Asia Pacific,Singapore,19,0.00
8.219.6.150,2086,2086,false,SIN,Asia Pacific,Singapore,19,0.00
8.219.51.211,2095,2095,false,SIN,Asia Pacific,Singapore,21,0.00
47.237.81.112,2095,2095,false,SIN,Asia Pacific,Singapore,21,0.00
8.222.136.247,2052,2052,false,SIN,Asia Pacific,Singapore,22,0.00
8.219.83.201,8080,8080,false,SIN,Asia Pacific,Singapore,22,0.00
8.219.198.34,2096,2096,true,SIN,Asia Pacific,Singapore,22,0.00
8.219.189.143,2087,2087,true,SIN,Asia Pacific,Singapore,23,0.00
8.219.199.220,2095,2095,false,SIN,Asia Pacific,Singapore,23,0.00
8.219.191.40,8080,8080,false,SIN,Asia Pacific,Singapore,24,0.00
47.236.165.25,8080,8080,false,SIN,Asia Pacific,Singapore,24,0.00
47.245.105.224,8443,8443,true,SIN,Asia Pacific,Singapore,25,0.00
8.219.209.14,8080,8080,false,SIN,Asia Pacific,Singapore,25,0.00
8.219.202.130,2052,2052,false,SIN,Asia Pacific,Singapore,27,0.00
47.236.170.225,2053,2053,true,SIN,Asia Pacific,Singapore,27,0.00
8.219.190.62,443,443,true,SIN,Asia Pacific,Singapore,29,0.00
8.219.111.147,8080,8080,false,SIN,Asia Pacific,Singapore,29,0.00
8.222.156.242,2095,2095,false,SIN,Asia Pacific,Singapore,29,0.00
47.236.174.206,8880,8880,false,SIN,Asia Pacific,Singapore,30,0.00
8.219.99.169,80,80,false,SIN,Asia Pacific,Singapore,30,0.00
47.245.84.124,80,80,false,SIN,Asia Pacific,Singapore,31,0.00
8.219.84.214,8880,8880,false,SIN,Asia Pacific,Singapore,31,0.00
8.219.113.232,2086,2086,false,SIN,Asia Pacific,Singapore,32,0.00
8.217.90.154,443,443,true,HKG,Asia Pacific,Hong Kong,33,0.00
47.242.234.127,2052,2052,false,HKG,Asia Pacific,Hong Kong,33,0.00
